rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,30,13,3,220869,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,38,13,1,211938,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Psi,https://www.kaggle.com/philippsinger,27,7,0,209974,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
4,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,22,2,175043,United States,New York,New York,Data Scientist,H2O.ai
5,grandmaster,Giba,https://www.kaggle.com/titericz,61,47,31,123600,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
6,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,18,8,2,123266,Japan,Tokyo,Tokyo,Senior Data Scientist,H2O.ai
7,grandmaster,Ilu,https://www.kaggle.com/ilu000,16,7,3,118004,Germany,North Rhine-Westphalia,Cologne,Senior Data Scientist,H2O.AI
8,grandmaster,CPMP,https://www.kaggle.com/cpmpml,24,25,4,116879,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
9,grandmaster,tascj,https://www.kaggle.com/tascj0,10,8,3,110306,China,Zhejiang,Hangzhou, , 
10,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,17,19,8,107859,United States,California,San Diego,Data Scientist & Researcher,Nvidia
11,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,12,8,4,107023,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
12,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,13,3,1,101425,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
13,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,5,96490,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation
14,grandmaster,charmq,https://www.kaggle.com/charmq,8,4,3,90846,Japan,Tokyo,Tokyo,Engineer,Preferred Networks
15,grandmaster,takuoko,https://www.kaggle.com/takuok,10,11,11,90263,Japan,Tokyo,Tokyo,DataScientist,Rist. Z by HP & NVIDIA Data Science Global Ambassador
16,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,89666,United States,Kansas,Dillon,Drinker,Riggins' Rigs
17,grandmaster,daishu,https://www.kaggle.com/daishu,9,6,1,86359,China,Fujian,Xiamen,Exploring neural networks,UNKOWN
18,master,Nischay Dhankhar,https://www.kaggle.com/nischaydnk,5,21,6,85423,India,Haryana,Gurugram,Undergraduate,"Netaji Subash University Of Technology, Delhi"
19,grandmaster,Bo,https://www.kaggle.com/boliu0,17,8,4,83636,United States,New York,New York,Deep Learning,NVIDIA
20,expert,Taro,https://www.kaggle.com/taroz1461,2,0,0,81994,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN
21,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,81341,China,Guangdong Province,Guangzhou,^ ^,403
22,grandmaster,Takoi,https://www.kaggle.com/takoihiraokazu,9,7,2,79412,Japan,Fukuoka,Fukuoka,Data Scientist,Rist
23,grandmaster,Tom,https://www.kaggle.com/tikutiku,5,13,1,78481,Japan,Nagano,Ueda,Data Scientist,Sprout.ai
24,master,Manuel Campos,https://www.kaggle.com/coreacasa,2,30,24,78439,Spain,Community of Madrid,Madrid,Kaggler at None,UNKOWN
25,grandmaster,hyd,https://www.kaggle.com/hydantess,5,3,0,77040,China,Zhejiang,Hangzhou,Looking for a job on the earth,UNKOWN
26,grandmaster,gezi,https://www.kaggle.com/goldenlock,5,1,0,76842,China,Beijing,Beijing,Former SDE,"Nvidia,Baidu,Meituan,Sogou"
27,expert,Kirderf,https://www.kaggle.com/kirderf,0,14,27,76813,Sweden,Stockholm County,Stockholm,nan,nan
28,grandmaster,khyeh,https://www.kaggle.com/khyeh0719,11,26,6,76085,Taiwan,UNKOWN,Hsinchu,MLE,JCV
